model,genre,n,ROC-AUC,BRIER,C@1,F1,F0.5u,MEAN,FPR,FNR
model_A (tfidf+lr),essays,198,0.8438,0.8124,0.7273,0.7453,0.8739,0.8005,0.0152,0.4015
model_A (tfidf+lr),fiction,201,0.9135,0.657,0.5572,0.5028,0.7166,0.6694,0.0,0.6642
model_A (tfidf+lr),news,201,0.6922,0.68,0.607,0.5907,0.7703,0.668,0.0299,0.5746
model_B (e5+stylo+catboost),essays,198,0.9871,0.9319,0.9343,0.952,0.9375,0.9486,0.1515,0.0227
model_B (e5+stylo+catboost),fiction,201,0.9649,0.9286,0.8657,0.8933,0.9262,0.9157,0.0896,0.1567
model_B (e5+stylo+catboost),news,201,0.8906,0.8686,0.791,0.8372,0.8571,0.8489,0.2388,0.194
model_C (e5+stylo+kogan),essays,198,0.9931,0.9417,0.9242,0.9458,0.9199,0.945,0.2121,0.0076
model_C (e5+stylo+kogan),fiction,201,0.9747,0.9389,0.8955,0.9189,0.9385,0.9333,0.0896,0.1119
model_C (e5+stylo+kogan),news,201,0.8991,0.8778,0.806,0.8506,0.8645,0.8596,0.2388,0.1716
model_D (deberta),essays,198,0.7691,0.7072,0.6818,0.6927,0.8373,0.7376,0.0303,0.4621
model_D (deberta),fiction,201,0.7313,0.6664,0.6418,0.6327,0.8115,0.6967,0.0,0.5373
model_D (deberta),news,201,0.6705,0.6555,0.6269,0.6575,0.7595,0.674,0.194,0.4627
